workload,function,version,elapsed_time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions,perf:thread:cpu-cycles,perf:thread:cycles,perf:thread:context-switches
100,hough,3,179296,0,722,6982,30124,0,0
100,hough,3,214864,0,674,7025,26834,0,0
100,hough,3,236037,0,667,6977,26860,0,0
100,hough,3,191200,0,725,6992,33595,0,0
100,hough,3,215231,0,989,7032,35731,0,0
100,hough,3,222940,0,900,7039,32036,0,0
100,hough,3,209219,0,769,7017,34217,0,0
100,hough,3,278573,0,874,6986,70540,0,0
100,hough,3,216328,0,854,7017,29648,0,0
100,hough,3,190758,0,718,6980,32401,0,0
100,hough,3,212210,0,945,6994,38402,0,0
100,hough,3,190487,0,778,7016,32677,0,0
100,hough,3,222193,0,959,7026,59680,0,0
100,hough,3,200843,0,782,7026,29343,0,0
100,hough,3,212114,0,1026,6974,38339,0,0
100,hough,3,220412,0,812,7037,30986,0,0
100,hough,3,178904,0,685,6978,31431,0,0
100,hough,3,209229,0,784,7056,31966,0,0
100,hough,3,210195,0,825,7132,42219,0,0
100,hough,3,154457,0,755,6978,28989,0,0
100,hough,3,154659,0,693,7017,33150,0,0
100,hough,3,206172,0,756,7019,35701,0,0
100,hough,3,198621,0,809,7033,34788,0,0
100,hough,3,218868,0,652,7039,26567,0,0
100,hough,3,202260,0,791,7019,31100,0,0
100,hough,3,202323,0,785,7006,33039,0,0
100,hough,3,170859,0,843,7033,32149,0,0
100,hough,3,186054,0,745,6992,30354,0,0
100,hough,3,185729,0,707,7019,34593,0,0
100,hough,3,200665,0,758,7035,34614,0,0
100,hough,3,200803,0,770,7037,34400,0,0
100,hough,3,245940,0,897,7148,67200,0,0
100,hough,3,173557,0,711,6978,28587,0,0
100,hough,3,219749,0,804,7079,32538,0,0
100,hough,3,190301,0,756,7019,31134,0,0
100,hough,3,176729,0,698,6982,29582,0,0
100,hough,3,224510,0,741,6982,32497,0,0
100,hough,3,216655,0,801,6992,30392,0,0
100,hough,3,200668,0,753,6998,30832,0,0
100,hough,3,220647,0,685,7058,28692,0,0
100,hough,3,248029,0,881,7056,33490,0,0
100,hough,3,237728,0,604,7016,28554,0,0
100,hough,3,155564,0,694,6978,32732,0,0
100,hough,3,212650,0,781,6994,33238,0,0
100,hough,3,226749,0,886,7031,31979,0,0
100,hough,3,192034,0,721,6980,29984,0,0
100,hough,3,217445,0,773,7024,30499,0,0
100,hough,3,200669,0,789,7045,31691,0,0
100,hough,3,116391,0,671,6979,29626,0,0
100,hough,3,198211,0,762,7019,29249,0,0
100,hough,3,185069,0,-281474976710725,7011,30025,281474976716939,0
100,hough,3,197980,0,792,7033,31388,0,0
100,hough,3,207370,0,640,7058,30307,0,0
100,hough,3,164424,0,724,6978,29734,0,0
100,hough,3,199077,0,756,6992,34383,0,0
100,hough,3,237789,0,848,7019,33367,0,0
100,hough,3,166551,0,807,7019,29119,0,0
100,hough,3,179108,0,715,6980,29384,0,0
100,hough,3,164502,0,684,6980,27311,0,0
100,hough,3,152569,0,711,6992,30434,0,0
100,hough,3,179300,0,746,7019,32375,0,0
100,hough,3,200643,0,715,7019,32740,0,0
100,hough,3,210907,0,769,7058,32956,0,0
100,hough,3,179311,0,721,6978,29450,0,0
100,hough,3,189653,0,744,7017,30218,0,0
100,hough,3,189456,0,734,6978,29997,0,0
100,hough,3,210637,0,633,7025,25734,0,0
100,hough,3,209002,0,794,7045,30588,0,0
100,hough,3,205076,0,740,6984,28393,0,0
100,hough,3,218214,0,784,7023,32237,0,0
100,hough,3,195253,0,793,7019,29537,0,0
100,hough,3,221113,0,850,7033,32713,0,0
100,hough,3,164568,0,713,6980,30951,0,0
100,hough,3,226066,0,849,7104,31146,0,0
100,hough,3,209747,0,764,7019,29546,0,0
100,hough,3,186923,0,829,7062,34123,0,0
100,hough,3,184338,0,798,7033,30219,0,0
100,hough,3,185737,0,808,7023,31085,0,0
100,hough,3,169667,0,718,7023,28344,0,0
100,hough,3,175319,0,705,6996,32172,0,0
100,hough,3,179911,0,743,7011,29385,0,0
100,hough,3,203871,0,814,7019,30783,0,0
100,hough,3,208519,0,794,7072,31555,0,0
100,hough,3,177906,0,763,6994,30229,0,0
100,hough,3,198078,0,811,6982,30404,0,0
100,hough,3,181291,0,805,7031,32532,0,0
100,hough,3,145151,0,719,6980,27790,0,0
100,hough,3,166247,0,701,7023,28481,0,0
100,hough,3,207391,0,781,6994,30198,0,0
100,hough,3,245473,0,805,7070,32021,0,0
100,hough,3,164234,0,723,7010,29824,0,0
100,hough,3,291041,0,1026,6979,35763,0,0
100,hough,3,217248,0,791,7021,32613,0,0
100,hough,3,244514,0,834,7058,32781,0,0
100,hough,3,222069,0,779,6984,29908,0,0
100,hough,3,150125,0,709,6980,31734,0,0
100,hough,3,204338,0,791,6982,29290,0,0
100,hough,3,210972,0,767,7024,30430,0,0
100,hough,3,171909,0,783,7019,32462,0,0
100,hough,3,171386,0,714,7019,30190,0,0
